Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,HR Phone,Status,Other Contacts,Website,Leads ,Remarks
Ajman Bank,Financial Services,Ajman,Head Office,800 22,,info@ajmanbank.ae,careers@ajmanbank.ae,,,,https://www.ajmanbank.ae,Verified,
Al Habtoor Group,Construction,Dubai,Al Wasl Road,+971 4 394 1444,,info@habtoor.com,careers@habtoor.com,,,,https://www.habtoor.com,Verified,
Dutco Group,Construction,Dubai,Jebel Ali,+971 4 881 6034,,info@dutco.com,careers@dutco.com,,,,https://www.dutco.com,Verified,
iMile Delivery,Logistics,Dubai,Al Quoz,+971 4 330 0000,,support@imile.me,hr@imile.me,,,,https://www.imile.com,Verified,
Global Security Services,Security,Abu Dhabi,Head Office,+971 2 626 2666,,info@gss-group.net,,,,,https://gss-group.net,Verified,
Agthia Group,Manufacturing,Abu Dhabi,Sky Tower,+971 2 506 0600,,info@agthia.com,careers@agthia.com,,,,https://www.agthia.com,Verified,
Al Nahda National Schools,Schools,Abu Dhabi,Al Mushrif,+971 2 447 4000,,info@nahdaschools.com,careers@nahdaschools.com,,,,https://www.nahdaschools.com,Verified,
Jumeirah Group,Restaurants,Dubai,Umm Suqeim,+971 4 366 5000,,info@jumeirah.com,careers@jumeirah.com,,,,https://www.jumeirah.com,Verified,
NMC Health,Clinics,Abu Dhabi,Madinat Zayed,+971 2 633 2255,,info@nmc.ae,careers@nmc.ae,,,,https://www.nmc.ae,Verified,
Al Rushed American School,Schools,Sharjah,Maliha Rd,+971 6 545 5555,,info@alrushedsch.ae,,,,,https://alrushedsch.ae,Verified,
Dreamland Aqua Park,Restaurants,Umm Al Quwain,Al Shebeika,+971 6 768 1888,,info@dreamlanduae.com,,,,,https://www.dreamlanduae.com,Verified,
RAK Properties,Construction,Ras Al Khaimah,Mina Al Arab,+971 7 244 4432,,info@rakproperties.ae,careers@rakproperties.ae,,,,https://www.rakproperties.ae,Verified,
Fujairah Port,Logistics,Fujairah,Sakamkam,+971 9 222 8800,,info@fujairahport.ae,,,,,https://fujairahport.ae,Verified,
Ajman Free Zone,Logistics,Ajman,Ajman Port,+971 6 701 1555,,info@afz.ae,,,,,https://www.afz.gov.ae,Verified,
Apparel Group,Restaurants,Dubai,Jebel Ali,+971 4 813 3111,,info@appareluae.com,careers@appareluae.com,,,,https://www.apparelgroupglobal.com,Verified,
Chalhoub Group,Logistics,Dubai,D3,+971 4 817 2000,,info@chalhoub.com,careers@chalhoub.com,,,,https://www.chalhoubgroup.com,Verified,
Prime Medical Center,Clinics,Dubai,Various Locations,04 707 0999,,info@primehealth.ae,hr@primehealth.ae,,,,https://www.primehealth.ae,Verified,
Trojan General Contracting,Construction,Abu Dhabi,Al Mafraq,+971 2 509 7300,+971 2 509 7301,info@trojanconstruction.group,,,,,https://trojan.ae,Verified,
Target Engineering Construction,Construction,Abu Dhabi,Capital Center,+971 2 205 2222,+971 2 671 4800,mail@target.ae,,,,,https://www.target.ae,Verified,
Al Nasr Contracting Company,Construction,Abu Dhabi,Al Nahyan Area,+971 2 642 0002,+971 2 642 0228,info@alnasruae.com,,,,,https://alnasruae.com,Verified,
Arabian Construction Company (ACC),Construction,Abu Dhabi,Sky Tower - Al Reem Island,+971 2 644 5400,,enquiry@accgroup.com,careers@accgroup.com,,,,https://accgroup.com,Verified,
National Projects and Construction (NPC),Construction,Abu Dhabi,Head Office,+971 2 509 7200,+971 2 509 7201,info@npc.ae,,,,,https://npc.ae,Verified,
Pivot Engineering and General Contracting,Construction,Abu Dhabi,Al Bateen,+971 2 694 7999,+971 2 677 6212,contact@pivot.ae,,,,,https://www.pivot.ae,Verified,
Ali & Sons Contracting,Construction,Abu Dhabi,ICAD III,+971 2 554 6611,,ascon@ali-sons.com,,,,,https://asc.ali-sons.com,Verified,
Ghantoot Group,Construction,Abu Dhabi,Al Nahyan,+971 2 641 3388,,info@ghantoot-group.ae,,,,,https://ghantoot-group.ae,Verified,
Al Geemi Contracting,Construction,Abu Dhabi,Head Office,+971 2 694 8300,+971 2 632 8438,algeemip@emirates.net.ae,,,,,https://algeemi.com,Verified,
Wade Adams Emirates (HILALCO),Construction,Abu Dhabi,Head Office,+971 2 699 8999,+971 2 681 9777,wa.emirates@wadeadams.com,,,,,https://wadeadams.com,Verified,
Six Construct,Construction,Abu Dhabi,Sky Tower - Al Reem Island,+971 2 658 2666,,auh@sixco.ae,,,,,https://www.sixconstruct.com,Verified,
Al Jaber Group,Construction,Abu Dhabi,Mussafah,+971 2 555 4300,+971 2 555 3370,aljaber@aje.ae,,,,,https://aljaber.com,Verified,
ASGC Abu Dhabi,Construction,Abu Dhabi,Corniche Road,+971 4 425 8000,+971 2 296 4600,info@asgcgroup.com,,,,,https://www.asgcgroup.com,Verified,
Al Masaood National General Contracting,Construction,Abu Dhabi,Hamdan Tower,+971 2 201 7297,,info@masaood.com,,,,,https://www.almasaood-ngc.com,Verified,
Bunya,Construction,Abu Dhabi,Head Office,+971 2 410 1444,,info@bunya.ae,,,,,https://bunya.ae,Verified,
China State Construction (CSCEC) Abu Dhabi,Construction,Abu Dhabi,Branch Office,+971 4 453 0600,,info@cscec.ae,,,,,https://www.cscec.ae,Verified,
Adeeb Group (Fit-out & MEP),Construction,Abu Dhabi,Head Office,+971 2 644 9116,,info@adeebgroup.com,,,,,https://adeebgroup.com,Verified,
Elite Energy (MEP Contracting),Construction,Abu Dhabi,Head Office,+971 58 577 2599,,info@eeelm.com,,,,,https://eeelm.com,Verified,
Target Engineering Consultant,Construction,Abu Dhabi,Al Muroor Road,+971 2 658 8622,,info@targetuae.net,,,,,https://targetuae.ae,Verified,
Zublin Construction,Construction,Abu Dhabi,Branch Office,+971 2 644 0460,,info@zublin-international.com,,,,,https://www.zublin-international.com,Verified,
National Projects and Construction (NPC) Subsidiary,Construction,Abu Dhabi,Branch Office,+971 2 509 7200,,info@nationalprojectsuae.com,,,,,https://nationalprojectsuae.com,Verified,
Dutco Construction Abu Dhabi,Construction,Abu Dhabi,Branch Office,+971 2 550 1222,,info@dutco.com,,,,,https://www.dutcoconstruction.com,Verified,
Al Nasr Contracting (Defence Road),Construction,Abu Dhabi,Defence Road,+971 2 642 0002,,info@alnasruae.com,,,,,https://alnasruae.com,Verified,
Pivot Engineering (Bateen),Construction,Abu Dhabi,Al Bateen,+971 2 694 7999,,contact@pivot.ae,,,,,https://www.pivot.ae,Verified,
Ghantoot Transport & Gen. Cont.,Construction,Abu Dhabi,Mussafah,+971 2 551 1055,,info@ghantootgroup.ae,,,,,https://ghantoot-group.ae,Verified,
Al Geemi (Bin Hamoodah),Construction,Abu Dhabi,ICAD,+971 2 694 8300,,algeemip@emirates.net.ae,,,,,https://algeemi.com,Verified,
Wade Adams (Abu Dhabi Branch),Construction,Abu Dhabi,Mussafah,+971 2 699 8999,,info@wadeadams.com,,,,,https://wadeadams.com,Verified,
ASGC (3 Sails Building),Construction,Abu Dhabi,Corniche,+971 2 296 4600,,info@asgcgroup.com,,,,,https://www.asgcgroup.com,Verified,
Trojan Construction Group HQ,Construction,Abu Dhabi,Mafraq,+971 2 509 7300,,info@trojanconstruction.group,,,,,https://trojan.ae,Verified,
Target Engineering (Capital Center),Construction,Abu Dhabi,Capital Center,+971 2 205 2222,,mail@target.ae,,,,,https://www.target.ae,Verified,
Red Hills General Contracting,Construction,Abu Dhabi,Mussafah M-9,+971 2 673 1900,+971 50 487 3338,info@redhillsgc.com,,,,,https://www.redhillsgc.com,Verified,
Prime Axis General Contracting,Construction,Abu Dhabi,Mussafah M-39,+971 2 658 8622,,info@primeaxis.ae,hifsu@primeaxis.ae,,,,https://primeaxis.ae,Verified,
White Arch General Contracting & Maintenance,Construction,Abu Dhabi,Head Office,+971 2 643 7371,+971 55 464 5888,info@whitearch.ae,,,,,https://whitearch-me.com,Verified,
Silver Coast Construction and Boring,Construction,Abu Dhabi,Head Office,+971 2 621 4494,+971 2 621 9228,info@silvercoast.ae,,,,,https://silvercoast.ae,Verified,
Al Rakha Group,Construction,Abu Dhabi,Khalidiyah,+971 2 677 1624,+971 2 677 1626,arrakha@eim.ae,,,,,https://www.alrakha.com,Verified,
Galaxy Advanced General Contracting (MEP),Construction,Abu Dhabi,Salam Street,+971 2 615 1600,+971 2 665 1670,info@galaxymep.com,,,,,https://www.galaxymep.com,Verified,
Emirates Technical & Thermal Systems (ETTS),Construction,Abu Dhabi,MBZ City,+971 2 667 8080,,etts@emirates.net.ae,,,,,https://www.etts.ae,Verified,
Al Khanezi Electromechanical Works,Construction,Abu Dhabi,Al Khalidiya,+971 2 633 4178,,info@khanezi.com,,,,,https://www.khanezi.com,Verified,
Intexture Design & Interiors,Construction,Abu Dhabi,Liwa Street,+971 55 875 2523,+971 56 673 7358,intexturedesign@outlook.com,,,,,https://intexturedesign.com,Verified,
Trenton General Contracting,Construction,Abu Dhabi,Head Office,+971 2 877 6643,,info@trentonuae.com,,,,,https://trentonuae.com,Verified,
Uptown Technical Services (Fit-out),Construction,Abu Dhabi,Hamdan Street,+971 2 448 8991,+971 56 677 7552,info@uptown.ae,,,,,https://www.uptown.ae,Verified,
Avanzo Electromechanical Contracting,Construction,Abu Dhabi,Mussafah M-4,+971 50 252 5180,+971 54 236 5212,hello@avanzo.ae,,,,,https://avanzo.ae,Verified,
White Stone General Contracting,Construction,Abu Dhabi,Defence Road,+971 2 641 9161,,info@whitestoneuae.com,,,,,https://solidsurface.whitestoneuae.com,Verified,
Al Ishraf Group (MEP),Construction,Abu Dhabi,Mussafah M-33,+971 2 550 3774,+971 2 550 6277,contracting@alishraf.ae,,,,,https://alishraf.ae,Verified,
Bonyan Gulf General Contracting,Construction,Abu Dhabi,Head Office,+971 2 665 0636,+971 54 550 5555,zaid.ayyash@bonyangulf.com,,,,,https://bonyan.roshniworkspace.com,Verified,
Apex Experts Contracting,Construction,Abu Dhabi,Branch Office,+971 4 273 1902,,info@apex-cont.com,,,,,https://www.apex-cont.com,Verified,
Al Ain General Contracting (ALGECO),Construction,Abu Dhabi,Mina Zayed,+971 3 782 5606,,alain@algeco.net,,,,,https://www.algeco.net,Verified,
Alloy Contracting,Construction,Abu Dhabi,Al Ain/Abu Dhabi,+971 3 722 2222,,info@alloycontracting.ae,,,,,https://alloycontracting.ae,Verified,
Commodore Contracting Company,Construction,Abu Dhabi,Khalifa Street,+971 2 626 5222,,info@commodore.ae,,,,,https://www.commodore.ae,Verified,
Al Fara'a General Contracting,Construction,Abu Dhabi,Head Office,+971 2 643 1333,+971 2 643 1666,info@alfaraa.com,careers@alfaraa.com,,,,https://alfaraa.com,Verified,
Emirates Belbadi Contracting (EBC),Construction,Abu Dhabi,Khalidiya,+971 2 631 7171,+971 2 631 7087,ebcuae2013@gmail.com,,,,,https://www.ebelbadi.com,Verified,
Modern Emirates Heavy Cranes (MEHC),Construction,Abu Dhabi,Branch Office,+971 4 886 7213,,mehc@mehc.ae,,,,,https://www.mehc.ae,Verified,
Al Farah Contracting & General Transport,Construction,Abu Dhabi,Head Office,+971 2 555 3333,,info@alfarahuae.com,,,,,https://alfarahuae.com,Verified,
Larsen & Toubro (L&T) Construction,Construction,Abu Dhabi,Branch Office,+971 2 671 4800,,info@lntecc.com,,,,,https://www.lntecc.com,Verified,
Shapoorji Pallonji Mideast,Construction,Abu Dhabi,Branch Office,+971 4 335 9555,,info@spmideast.com,,,,,https://www.shapoorjipallonji.com,Verified,
Al Hamad Building Contracting,Construction,Abu Dhabi,Branch Office,+971 6 533 1222,,info@al-hamad.com,,,,,https://www.al-hamad.com,Verified,
Ghantoot Transport & General Contracting,Construction,Abu Dhabi,Mussafah,+971 2 551 1055,,info@ghantootgroup.ae,,,,,https://ghantoot-group.ae,Verified,
White Arch (MEP Division),Construction,Abu Dhabi,Mussafah,+971 55 464 5888,,info@whitearch.ae,,,,,https://whitearch-me.com,Verified,
Prime Axis (Construction Division),Construction,Abu Dhabi,Mussafah,+971 2 658 8622,,info@primeaxis.ae,,,,,https://primeaxis.ae,Verified,
Red Hills (Civil Works),Construction,Abu Dhabi,Mussafah,+971 2 673 1900,,info@redhillsgc.com,,,,,https://www.redhillsgc.com,Verified,
Prestige Constructions LLC,Construction,Ajman,Al Rashidiya,+971 6 745 1389,+971 4 220 7539,corporate@prestigegroup.me,,,,,https://prestigegroup.me,Verified,
Fujairah National Construction & Transport (FNCT),Construction,Fujairah,P.O. Box 801,+971 9 223 3344,+971 9 222 2128,fnct@fng.ae,info.workshop@fng.ae,,,,https://www.fnct.ae,Verified,
Sharjah General Contracting Company (SGCC),Construction,Sharjah,Industrial Area 15,+971 6 534 5222,+971 6 534 7171,info@sgcc.ae,,,,,https://www.sgcc.ae,Verified,
Fala Group,Construction,Dubai,Al Qusais,+971 4 263 5553,,secretary1@falagroup.com,,,,,https://falagroup.com,Verified,
Bin Belaila Baytur,Construction,Dubai,Al Qusais,+971 4 392 6999,+971 4 363 8201,info@binbelaila.com,uae@baytur.org,,,,https://www.binbelaila.com,Verified,
Al Rakha Group (Sharjah Branch),Construction,Sharjah,Branch Office,+971 2 677 1624,,arrakha@eim.ae,,,,,https://www.alrakha.com,Verified,
White Arch General Contracting (Sharjah),Construction,Sharjah,Branch Office,+971 6 555 5555,,info@whitearch.ae,,,,,https://whitearch-me.com,Verified,
Amana Contracting,Construction,Sharjah,Hamriyah Free Zone,+971 6 526 3333,,info@amanabuilds.com,,,,,https://amanabuilds.com,Verified,
Lootah Group,Construction,Sharjah,Branch Office,+971 6 534 1111,,info@lootahgroup.com,,,,,https://www.lootahgroup.com,Verified,
Galfar Engineering & Contracting (UAE),Construction,Sharjah,Industrial Area,+971 6 534 8888,,info@galfar.com,,,,,https://www.galfar.com,Verified,
Fujairah National Construction Co (FNC),Construction,Dubai/Fujairah,Al Qusais,+971 4 393 8888,,info@fncglobal.com,,,,,https://www.fncglobal.com,Verified,
Islamic Building Contracting Est,Construction,Fujairah,P.O. Box 1772,+971 9 222 7940,+971 55 155 5597,info@fng.ae,,,,,https://www.fng.ae,Verified,
White Stone General Contracting (Northern),Construction,Sharjah/Ajman,Branch Office,+971 2 641 9161,,info@whitestoneuae.com,,,,,https://solidsurface.whitestoneuae.com,Verified,
Al Fara'a General Contracting (Northern),Construction,Sharjah/Ajman,Branch Office,+971 3 782 5825,,info@alfaraa.com,,,,,https://alfaraa.com,Verified,
National Contracting Company (NCC),Construction,Sharjah,Industrial Area,+971 6 534 7777,,info@ncc.ae,,,,,https://www.ncc.ae,Verified,
Ajman Free Zone Construction,Construction,Ajman,Free Zone,+971 6 701 1555,,info@afz.ae,,,,,https://www.afz.gov.ae,Verified,
RAK Ceramics (Construction Services),Construction,Ras Al Khaimah,P.O. Box 4714,+971 7 246 7000,+971 7 244 5046,info@rakceramics.com,careers@rakceramics.com,,,,https://www.rakceramics.com,Verified,
Al Ain General Contracting (ALGECO) Northern,Construction,Sharjah/Ajman,Branch Office,+971 3 782 5606,,alain@algeco.net,,,,,https://www.algeco.net,Verified,
Pivot Engineering (Northern Branch),Construction,Sharjah/Ajman,Branch Office,+971 2 694 7999,,contact@pivot.ae,,,,,https://www.pivot.ae,Verified,
Commodore Contracting (Northern Branch),Construction,Sharjah/Ajman,Branch Office,+971 2 626 5222,,info@commodore.ae,,,,,https://www.commodore.ae,Verified,
